,venue,address,latitude,longitude,neighborhood,category
1078,Sarah's Mediterranean Grill & Market,5222 Burnet Rd #500,30.324718652161206,-97.73991220146291,ROSEDALE,Falafel Restaurant
1079,Spread & Co.,"3809 W 35th Street, Austin, TX 78703",30.312495,-97.773488,WEST AUSTIN NG,Restaurant
1080,Épicerie At The Contemporary,3809 W 35th St,30.311511993408203,-97.77459716796875,WEST AUSTIN NG,Café
1081,Spicy Szechuan,3706 Jefferson St,30.309334999999997,-97.75140400000001,ROSEDALE,Chinese Restaurant
1082,daylight donuts,"5222 Burnet Rd, Austin, TX 78756",30.324684486699216,-97.73993828026431,ROSEDALE,Donut Shop
1083,Koya,5308 Balcones Dr,30.335439682006836,-97.75916290283203,ALLANDALE,Asian Restaurant
1084,Gastronomical Tarrytown,3111 W 35th St,30.313227687568375,-97.76702284812927,WEST AUSTIN NG,Food Truck
1085,SUBWAY,5521 Balcones Dr,30.336801608164286,-97.75738218633309,ALLANDALE,Sandwich Place
1086,Lee's Meat Market,Jefferson and 38th,30.308671962603388,-97.75071300510969,ROSEDALE,Sandwich Place
1087,Caper's,3211 Warren St,30.311707000000002,-97.76897,WEST AUSTIN NG,Food
1088,Marlene's,,30.312121439962453,-97.76008279055898,ROSEDALE,American Restaurant
1089,Reunion 19,1700 E 2nd St,30.258897,-97.725889,EAST CESAR CHAVEZ,Restaurant
1090,Lefty's,1813 East 6th,30.261747,-97.72318,EAST CESAR CHAVEZ,Cajun / Creole Restaurant
1091,Wendy’s,3596 Far West Blvd,30.354631560340668,-97.75466166438036,NORTHWEST HILLS,Fast Food Restaurant
1092,El Mercado,7414 Burnet Rd,30.350237131256677,-97.73513460130563,ALLANDALE,Mexican Restaurant
1093,Bufalina Due,6555 Burnet Rd,30.341030179134773,-97.73842150648672,BRENTWOOD,Pizza Place
1094,Chinatown North,3407 Greystone Dr,30.356643648393735,-97.74735263086947,NORTHWEST HILLS,Chinese Restaurant
1095,Azul Tequila,3815 Dry Creek Dr,30.34279278396121,-97.76381819477068,NORTHWEST HILLS,Mexican Restaurant
1096,Ichiban,7310 Burnet Rd,30.34926683696725,-97.73584401563409,ALLANDALE,Korean Restaurant
1097,Barley Swine,6555 Burnet Rd,30.341255716248515,-97.73845816423668,BRENTWOOD,New American Restaurant
1098,Kolache Shoppe,7113 Burnet Rd,30.347255561381687,-97.73468601100836,CRESTVIEW,Bakery
1099,DipDipDip Tatsu-Ya,7301 Burnet Rd,30.348106,-97.734335,CRESTVIEW,Japanese Restaurant
1100,Lucy's Fried Chicken,5408 Burnet Rd,30.32869230162789,-97.7401178957138,ALLANDALE,Fried Chicken Joint
1101,McDonald's,6503 S Interstate 35,30.19119938452078,-97.76873275637627,BLUFF SPRINGS,Fast Food Restaurant
1102,PhoNatic Vietnamese Cuisine,2525 W Anderson Ln Bldg 3 Ste 208,30.355696910779148,-97.7338148666229,ALLANDALE,Vietnamese Restaurant
1103,Conans Pizza North,2438 W Anderson Ln,30.357547491259414,-97.73104972422823,NORTH SHOAL CREEK,Pizza Place
1104,McDonald's,10525 W Parmer Ln,30.496274370219325,-97.77546107769012,AVERY RANCH--LAKELINE,Fast Food Restaurant
1105,Bombay Street Food,13775 N Highway 183,30.492502791021526,-97.79897152978025,AVERY RANCH--LAKELINE,Food Truck
1106,Brooklyn Heights Pizzeria Ristorante,14900 Avery Ranch Blvd Ste C700,30.499194578923863,-97.77725581908395,AVERY RANCH--LAKELINE,Pizza Place
1107,Shipley Do-Nuts,10019 W Parmer Ln #100,30.488713,-97.772271,AVERY RANCH--LAKELINE,Donut Shop
1108,The League Kitchen & Tavern,10526 W Parmer Ln,30.497747577650134,-97.773703,AVERY RANCH--LAKELINE,American Restaurant
1109,Cedar Pork,2301 Brushy Creed Rd,30.508739,-97.784442,AVERY RANCH--LAKELINE,Taco Place
1110,Smokey Mo's BBQ - Avery Ranch,10621 W Parmer Ln,30.49952031902731,-97.77709163552699,AVERY RANCH--LAKELINE,BBQ Joint
1111,Hunan Ranch,14900 Avery Ranch Blvd,30.499104818307686,-97.7773313216291,AVERY RANCH--LAKELINE,Asian Restaurant
1112,Snap Kitchen,10526 W Parmer Ln,30.497386757780756,-97.7746624627418,AVERY RANCH--LAKELINE,American Restaurant
1113,Gatti's Pizza,10510 W Parmer Ln,30.496401000000002,-97.77408,AVERY RANCH--LAKELINE,Pizza Place
1114,Gourdough's Donuts,,30.49567144117,-97.78439967899956,AVERY RANCH--LAKELINE,Food Truck
1115,SUBWAY,2901 Parmer Ln.,30.508855559907282,-97.77432669638412,AVERY RANCH--LAKELINE,Sandwich Place
1116,The Backspace,507 San Jacinto Blvd,30.267020353996664,-97.74069483121592,DOWNTOWN,Pizza Place
1117,General Store,11003 Harris Branch Pkwy,30.342667166804702,-97.61272540456203,HARRIS BRANCH,Restaurant
1118,Liz's Grill,11003 Harris Branch Pkwy,30.342856,-97.612814,HARRIS BRANCH,Burger Joint
1119,Subway,12250 Harris Branch Pkwy,30.368143,-97.613938,HARRIS BRANCH,Sandwich Place
1120,The Cheesecake Factory,2901 S Capital Of Texas Hwy Space #G02B,30.257792,-97.806859,BARTON CREEK MALL,American Restaurant
1121,McDonald's,3300 Bee Caves Rd,30.27374043766685,-97.79867067005398,BARTON CREEK MALL,Fast Food Restaurant
1122,Rudy's Country Store & Bar-B-Q,2451 S Capital of Texas Hwy,30.263580174323412,-97.81549841165543,BARTON CREEK MALL,BBQ Joint
1123,Barton Creek Mall Food Court,,30.25745613231712,-97.80755480077929,BARTON CREEK MALL,Food Court
1124,California Pizza Kitchen at Barton Creek,"2901 S. Capital of Texas Hwy., Barton Creek",30.258721,-97.807728,BARTON CREEK MALL,Pizza Place
1125,Thundercloud Subs,3201 Bee Caves Road,30.27333761,-97.8006856,BARTON CREEK MALL,Sandwich Place
1126,Raising Cane's Chicken Fingers,3201 Bee Cave Rd,30.27374488474424,-97.80063640435068,BARTON CREEK MALL,Fried Chicken Joint
1127,CAVA,"3201 Bee Caves Rd, STE 100",30.27305572181487,-97.79922876057435,BARTON CREEK MALL,Mediterranean Restaurant
1128,Bruegger's Bagels,3267 Bee Caves Rd Ste 105,30.274523148841535,-97.80124606083498,BARTON CREEK MALL,Bagel Shop
1129,Vaqueros Cafe & Cantina,1801 S Capital of Texas Hwy,30.271182681186197,-97.81705476967403,BARTON CREEK MALL,Tex-Mex Restaurant
1130,Las Palomas Restaurant - Bar,3201 Bee Cave Rd,30.27193264896987,-97.80008830442958,BARTON CREEK MALL,Mexican Restaurant
1131,Charleys Philly Steaks,2901 S Capital of Texas Hwy Ste VC-07,30.257469,-97.807877,BARTON CREEK MALL,Sandwich Place
1132,Sarku Japan,3103 Tamarron Blvd,30.25747609149906,-97.80750915800533,BARTON CREEK MALL,Asian Restaurant
1133,Chick-fil-A,2901 S Capital of Texas Hwy Ste VC8,30.257427,-97.807936,BARTON CREEK MALL,Fast Food Restaurant
1134,Saffron Indian & Nepalese Cuisine,3201 Bee Cave Rd #148,30.273536,-97.800156,BARTON CREEK MALL,Indian Restaurant
1135,Panda Express,2901 S Capital of Texas Hwy,30.257407424320775,-97.80765304568834,BARTON CREEK MALL,Chinese Restaurant
1136,QDOBA Mexican Eats,2901 S Capital of Texas Hwy,30.2575404,-97.8078139,BARTON CREEK MALL,Mexican Restaurant
1137,Lotus Hunan Chinese Restaurant,3201 Bee Cave Rd,30.272941408082254,-97.79948457519563,BARTON CREEK MALL,Chinese Restaurant
1138,Cafe Bistro,2901 S Capital of Texas Hwy,30.25892587992689,-97.80853807926178,BARTON CREEK MALL,Diner
1139,Howdy Donut,3267 Bee Caves Rd,30.274359433508224,-97.80133778801729,BARTON CREEK MALL,Donut Shop
1140,Thistle Cafe,1501 Braxton Valley Cv,30.260815,-97.789807,BARTON HILLS,Café
1141,Sarku JAPAN,2901 S. Capital Texas Highway,30.257667541503906,-97.80751037597656,BARTON CREEK MALL,Japanese Restaurant
1142,Osio (Simon Sushi),2901 S Capital of Texas Hwy,30.257443569039374,-97.80751275944549,BARTON CREEK MALL,Sushi Restaurant
1143,Villa Pizza,2901 S Capital of Texas Hwy Ste 209,30.2573622,-97.8072249,BARTON CREEK MALL,Pizza Place
1144,Auntie Anne's,2901 S Capital of Texas Hwy Spc N05A,30.257537834104753,-97.80741538363037,BARTON CREEK MALL,Snack Place
1145,garbo's lobster truck,,30.250487887366905,-97.80097307110846,BARTON HILLS,Food Truck
1146,Great Harvest Bread Co.,3201 Bee Cave Rd,30.272075564827862,-97.80013758445898,BARTON CREEK MALL,Bakery
1147,Artessano,,30.254991063277654,-97.79878040412446,BARTON HILLS,Food Truck
1148,Savery Grilled Cheese,,30.26004522486144,-97.79024929280747,BARTON HILLS,Food Truck
1149,Sip Pho,"512 W 29th St, Austin, TX 78705",30.295482635498047,-97.74229431152344,NORTH UNIVERSITY,Vietnamese Restaurant
1150,East Side Pies,5312 Airport Boulevard,30.31478,-97.71514,NORTH LOOP,Pizza Place
1151,Beto's Mexican Restaurant,3518 E 7th St,30.2566966264771,-97.70231326077308,GOVALLE,Mexican Restaurant
1152,Marcelino Pan y Vino,901 Tillery St,30.262552775519506,-97.703616606791,GOVALLE,Mexican Restaurant
1153,Papa Joe's Tex-Mex,"917 Springdale Rd, Austin, TX 78702",30.261032672645648,-97.69826027175225,GOVALLE,Tex-Mex Restaurant
1154,Uroko,1023 Springdale Rd Bldg 1,30.267537,-97.69367,MLK-183,Sushi Restaurant
1155,Pueblo Viejo,641 Tillery St,30.257748,-97.705675,GOVALLE,Taco Place
1156,Julie Myrtille Bakery,,30.267578,-97.693762,MLK-183,Bakery
1157,Eden East at Springdale Farm,755 Springdale Rd,30.257854924028138,-97.70023433200602,GOVALLE,American Restaurant
1158,The Ginger Armadillo,PO Box 49642,30.261114062945502,-97.69527697319754,GOVALLE,Food Truck
1159,Plow Bq,5012 E 7th St,30.252111897581738,-97.70153272523348,GOVALLE,Food Truck
