,venue,address,latitude,longitude
63,The Grove Wine Bar & Kitchen,"6317 Bee Cave Rd  Austin, TX 78746, USA",30.2961285,-97.8328859
64,Dog Haus,"8023 Burnet Rd, Austin, TX 78757, USA",30.3590985,-97.72951069999999
65,Plant B,"8023 Burnet Rd, Austin, TX 78757, USA",30.3590985,-97.72951069999999
66,Fatburger,"8023 Burnet Rd, Austin, TX 78723, USA",30.3590985,-97.72951069999999
67,Starbucks,"2900 W Anderson Ln, Austin, TX 78757, USA",30.3590684,-97.7359414
68,Starbucks,"6816 West Gate Blvd, Austin, TX 78745, USA",30.20793639999999,-97.8154023
69,Burger King,"9523 N Lamar Blvd, Austin, TX 78753, USA",30.36520329999999,-97.69536440000002
70,Starbucks,"6600 S MoPac Expy  Austin, TX 78749, USA",30.2226489,-97.83645539999999
71,Plucker's Wing Bar,"9070 Research Blvd Ste 201C, Austin, TX 78758, USA",30.3726587,-97.72802779999999
72,Starbucks,"8040 Mesa Dr, Austin, TX 78731, USA",30.3715752,-97.758223
73,Austin Beerworks,"3001 Industrial Terrace, Austin, TX 78758, USA",30.3795323,-97.7298715
74,Starbucks,"9300 S I- 35 Service Rd G100, Austin, TX 78748, USA",30.1655277,-97.7882401
75,Starbucks,"9500 S I-35, Feeder Rd Bldg G, Austin, TX 78748, USA",30.1629477,-97.79401519999999
76,Burger King,"1905 W Slaughter Ln, Austin, TX 78748, USA",30.1733329,-97.8227309
77,The Cheesecake Factory,"10000 Research Blvd, Austin, TX 78759, USA",30.3922683,-97.74820109999999
78,Starbucks,"10107 Research Blvd, Austin, TX 78759, USA",30.3927426,-97.7438771
79,Truluck's,"10225 Research Blvd Suite 4000, Austin, TX 78759, USA",30.3944546,-97.74385869999999
80,The Brass Tap,"10910 Domain Dr, Austin, TX 78758, USA",30.3954441,-97.7269882
81,Starbucks,"7015 West US, W Hwy 290, Austin, TX 78736, USA",30.232506,-97.87404599999999
82,Starbucks,"9722 Great Hills Trail  Austin, TX 78759, USA",30.3955849,-97.7517712
83,Burger King,"3906 W Braker Ln, Austin, TX 78759, USA",30.3970961,-97.7342228
84,Plucker's Wing Bar,"7101 State Hwy 71 Ste E19, Austin, TX 78735, USA",30.2343576,-97.87645429999999
85,Starbucks,"9911 Brodie Ln, Austin, TX 78748, USA",30.1838903,-97.84775990000001
86,Starbucks,"3328 W Slaughter Ln, Austin, TX 78748, USA",30.1827474,-97.8470162
87,JINYA Ramen Bar,"3210 Esperanza Crossing Suite 130, Austin, TX 78758, USA",30.4006263,-97.7241031
88,Starbucks,"11410 MoPac Expy c09, Austin, TX 78759, USA",30.4019834,-97.7265094
